,AuthorAffiliation,Year,A,B,C,D,E,F,G,H,I,J,K,O,Total,Range
0,The RAND Corp Santa Monica CA,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
1,Honeywell Systems and Research Center St Paul Minnesota,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
2,GTE Laboratories Incorporated Waltham MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
3,System Development Corporation Santa Monica California,1960,0,0,0,0,0,1,0,0,0,0,0,0,8,1.1
4,University of California Berkeley,1960,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0
5,Qualcomm Inc,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
6,IBM TJ Watson Research Center,1960,0,0,0,0,0,1,0,0,0,0,0,0,4,1.1
7,Wang Institute of Graduate Studies Tyngsboro MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
8,The RAND Corporation Santa Monica California,1960,0,0,0,0,0,1,2,1,0,0,0,0,6,2.2
9,Thompson Ramo Wooldridge Inc Canoga Park California,1960,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
10,University of MichiganDearborn,1960,0,0,0,0,0,0,1,0,0,0,0,0,4,1.1
11,University of California Los Angeles,1960,0,0,0,0,0,0,3,0,0,0,0,0,4,3.3000000000000003
12,Carnegie Mellon University,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
13,Stanford University,1960,0,0,0,0,0,0,1,0,0,0,0,0,7,1.1
14,Harvard University,1960,0,0,0,0,0,0,0,0,0,1,0,0,1,1.1
15,Argonne National Laboratory,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
16,Oak Ridge National Laboratory,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
17,National Bureau of Standards,1960,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0
18,University of Mainz Mainz Germany,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
19,RSA Laboratories Bedford MA,1960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
20,AT&T Bell Laboratories,1960,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
21,NEC Research Institute,1960,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0
