,Year,A,B,C,D,E,F,G,H,I,J,K,Total,Range
0,1960,0,0,0,0,0,4,7,1,0,1,0,87,7.700000000000001
1,1961,0,1,0,31,3,6,13,4,3,1,3,132,34.1
2,1962,0,0,0,3,0,5,3,0,1,0,0,86,5.5
3,1963,2,0,0,4,0,16,6,1,5,0,0,144,17.6
4,1964,0,0,0,21,3,19,13,2,4,4,12,149,23.1
5,1965,0,0,0,37,0,16,31,3,7,6,9,166,40.7
6,1966,0,4,0,3,0,11,7,0,1,0,0,177,12.100000000000001
7,1967,5,1,0,24,3,22,37,3,22,0,5,233,40.7
8,1968,0,0,0,4,0,17,3,2,13,5,1,239,18.700000000000003
9,1969,1,1,8,36,1,47,28,3,19,3,11,422,51.7
10,1970,2,6,0,21,0,25,24,0,10,2,2,380,27.500000000000004
11,1971,1,5,1,25,2,17,14,1,8,5,8,405,27.500000000000004
12,1972,2,0,1,21,1,38,15,8,15,0,4,654,41.800000000000004
13,1973,3,9,15,49,0,17,18,1,8,0,3,654,53.900000000000006
14,1974,4,1,0,66,3,36,52,0,20,4,27,647,72.60000000000001
15,1975,0,1,19,126,7,41,65,11,23,1,21,998,138.60000000000002
16,1976,3,10,49,86,7,32,62,104,40,13,99,1070,114.4
17,1977,3,7,21,95,8,23,45,44,34,4,27,1326,104.50000000000001
18,1978,1,1,16,71,15,65,58,42,59,6,46,942,78.10000000000001
19,1979,1,1,6,92,12,36,62,56,46,5,40,1145,101.2
20,1980,0,4,9,50,15,37,58,58,78,5,44,1154,85.80000000000001
21,1981,5,6,15,118,21,47,73,102,96,7,59,1537,129.8
22,1982,0,24,94,160,12,54,46,82,93,8,36,1777,176.0
23,1983,4,70,92,180,13,41,89,163,146,10,61,2193,198.00000000000003
24,1984,15,68,117,146,9,45,43,59,56,7,89,2598,160.60000000000002
25,1985,21,101,155,315,10,80,56,176,152,33,95,3657,346.5
26,1986,17,111,64,169,9,89,81,106,190,45,40,3292,209.00000000000003
27,1987,30,210,471,802,122,751,1240,545,832,299,202,7145,1364.0
28,1988,26,313,612,1371,101,858,1100,835,1046,282,333,7585,1508.1000000000001
29,1989,13,323,522,1011,111,796,818,529,849,151,171,6243,1112.1000000000001
30,1990,25,223,412,869,62,559,347,523,626,87,154,5079,955.9000000000001
31,1991,25,354,395,769,62,719,341,646,514,207,129,5968,845.9000000000001
32,1992,23,321,262,489,42,513,238,395,572,68,92,4805,629.2
33,1993,7,68,399,541,58,365,286,839,521,106,145,5947,922.9000000000001
34,1994,25,711,700,1346,189,807,434,1110,985,187,383,9054,1480.6000000000001
35,1995,29,366,582,1087,37,522,314,937,800,131,321,6868,1195.7
36,1996,18,222,378,731,29,483,205,653,472,70,246,6410,804.1
37,1997,28,304,529,711,71,482,351,636,673,152,276,7017,782.1
38,1998,42,681,829,1018,109,565,529,1019,926,181,408,8306,1120.9
39,1999,126,1398,1367,1470,133,815,870,2089,1867,386,540,14991,2297.9
40,2000,61,1048,1304,1960,92,959,849,2420,1737,568,890,17282,2662.0
41,2001,52,1366,2140,2054,175,1003,1036,2902,2634,508,980,19823,3192.2000000000003
42,2002,164,1265,2986,2626,364,1789,2203,4046,4401,682,965,30286,4841.1
43,2003,262,1949,3271,3156,394,2044,2547,5199,4454,767,1344,39805,5718.900000000001
44,2004,354,1807,4397,3853,467,2086,2003,7573,5745,1058,1624,58214,8330.300000000001
45,2005,654,4192,10330,7935,687,2643,2451,10798,9703,1707,3374,100760,11877.800000000001
46,2006,954,4420,11493,9871,1127,2599,3150,13561,13740,1635,4062,103616,15114.000000000002
47,2007,1612,4140,11296,10806,1109,3056,3548,11786,11438,2034,4100,101855,12964.6
48,2008,1487,2965,8354,7704,1057,2676,3456,13004,10696,2113,3456,89861,14304.400000000001
49,2009,776,1904,6889,6269,570,1715,1810,11958,8674,1271,2593,118051,13153.800000000001
50,2010,385,1438,6105,5997,352,1071,624,12041,5493,1201,2101,99398,13245.1
